driver_id,driver_name,age,Trips,orders_delivered,avg_missing_items,total_missing_items,total_delivered_items,total_items,missing_ratio,avg_order_amount,orders_with_missing,problem_order_ratio
WDID09909,John Walker,18,15,7,0.0,0,68,68,0.0,187.33714285714288,0,0.0
WDID09910,Oscar Roman,18,48,7,0.0,0,65,65,0.0,142.03857142857143,0,0.0
WDID09911,Kimberly Hayes,18,73,7,0.0,0,70,70,0.0,273.70285714285717,0,0.0
WDID09912,Michael Delgado,18,15,7,0.0,0,68,68,0.0,286.45428571428573,0,0.0
WDID09913,Tricia Larsen,18,78,7,0.0,0,79,79,0.0,392.0514285714285,0,0.0
WDID09914,Julie Rosales,18,18,7,0.0,0,71,71,0.0,327.82714285714286,0,0.0
WDID09915,Natasha Graves,18,56,7,0.0,0,65,65,0.0,210.01142857142855,0,0.0
WDID09916,Paul Lam,18,49,7,0.0,0,46,46,0.0,233.46428571428572,0,0.0
WDID09917,Jennifer Zimmerman,18,30,7,0.0,0,68,68,0.0,293.58428571428567,0,0.0
WDID09918,Shelby Wilson,18,58,7,0.0,0,76,76,0.0,238.27000000000004,0,0.0
WDID09919,John Rodriguez,18,65,7,0.0,0,68,68,0.0,328.6014285714286,0,0.0
WDID09920,William Brown,18,29,7,0.0,0,78,78,0.0,382.8528571428571,0,0.0
WDID09921,Charles Hernandez,18,49,7,0.0,0,76,76,0.0,259.11571428571426,0,0.0
WDID09922,Jacob Li,18,24,7,0.0,0,58,58,0.0,251.40285714285713,0,0.0
WDID09923,Eric Lawson,18,21,7,0.0,0,86,86,0.0,279.0028571428571,0,0.0
WDID09924,Nathan Davis,18,18,7,0.0,0,52,52,0.0,270.96142857142854,0,0.0
WDID09925,Rebecca Stephens,18,29,7,0.0,0,45,45,0.0,306.4614285714286,0,0.0
WDID09926,Laura Pearson,18,18,7,0.0,0,61,61,0.0,422.89285714285717,0,0.0
WDID09927,Stephanie Morgan,18,16,7,0.0,0,62,62,0.0,398.4871428571428,0,0.0
WDID09928,Kimberly Johnson,18,25,7,0.0,0,90,90,0.0,325.2785714285714,0,0.0
WDID09929,Kimberly Hall,18,74,7,0.0,0,78,78,0.0,301.2957142857143,0,0.0
WDID09930,Nicholas Johnson,18,64,7,0.0,0,92,92,0.0,308.6985714285714,0,0.0
WDID09931,Christopher Buck,18,24,7,0.0,0,94,94,0.0,281.18,0,0.0
WDID09932,Luis Baker,18,66,7,0.0,0,45,45,0.0,235.4257142857143,0,0.0
WDID09933,Nicholas Stewart,18,23,7,0.0,0,67,67,0.0,239.6685714285714,0,0.0
WDID09934,Robert Hogan,18,52,7,0.0,0,48,48,0.0,226.17857142857142,0,0.0
WDID09935,Cody Chavez,18,74,7,0.0,0,52,52,0.0,232.79285714285712,0,0.0
WDID09936,Alicia Terry,18,37,7,0.0,0,91,91,0.0,193.8014285714286,0,0.0
WDID09937,Daniel Mitchell,18,56,7,0.0,0,76,76,0.0,384.1014285714286,0,0.0
WDID09938,Thomas Mcfarland,18,15,7,0.0,0,93,93,0.0,254.95714285714286,0,0.0
WDID09939,Brian Douglas,18,21,7,0.0,0,74,74,0.0,341.70714285714286,0,0.0
WDID09940,Jessica Mercer,18,34,7,0.0,0,79,79,0.0,326.9371428571429,0,0.0
WDID09941,Kimberly Holden,18,41,7,0.0,0,86,86,0.0,291.0128571428571,0,0.0
WDID09942,Richard Williams,18,68,7,0.0,0,57,57,0.0,323.9042857142857,0,0.0
WDID09943,Shannon Preston,18,73,7,0.0,0,96,96,0.0,269.1657142857143,0,0.0
WDID09944,David Farmer,18,11,7,0.0,0,58,58,0.0,283.8614285714285,0,0.0
WDID09945,Carly Garrett,18,33,7,0.0,0,97,97,0.0,274.14142857142855,0,0.0
WDID09946,Christopher Perez,18,28,7,0.0,0,92,92,0.0,197.8414285714286,0,0.0
WDID09947,Brianna Austin,18,50,7,0.0,0,49,49,0.0,189.39714285714285,0,0.0
WDID09948,Deborah Foster,18,12,7,0.0,0,102,102,0.0,202.58571428571432,0,0.0
WDID09949,Jordan Holmes,18,74,7,0.0,0,72,72,0.0,363.70428571428573,0,0.0
WDID09950,Matthew Dean,18,28,7,0.0,0,91,91,0.0,205.88285714285715,0,0.0
WDID09951,Stephanie Mills,18,63,7,0.0,0,76,76,0.0,233.0342857142857,0,0.0
WDID09952,Matthew Coleman,18,60,7,0.0,0,73,73,0.0,211.01,0,0.0
WDID09953,Jamie Torres,18,27,7,0.0,0,50,50,0.0,227.40714285714287,0,0.0
WDID09954,Zachary Thornton,18,48,7,0.0,0,80,80,0.0,240.79999999999998,0,0.0
WDID09955,Taylor Gray,18,63,7,0.0,0,53,53,0.0,201.3842857142857,0,0.0
WDID09956,Emily Strickland,18,70,7,0.0,0,66,66,0.0,186.86714285714288,0,0.0
WDID09957,Cindy West,18,54,7,0.0,0,60,60,0.0,217.1314285714286,0,0.0
WDID09958,Robert Sherman,18,48,7,0.0,0,79,79,0.0,233.60142857142856,0,0.0
WDID09959,Michelle Bowen,18,34,7,0.0,0,81,81,0.0,228.03,0,0.0
WDID09960,Christopher West,18,26,7,0.0,0,54,54,0.0,289.64428571428573,0,0.0
WDID09961,Victor Bennett,18,24,7,0.0,0,96,96,0.0,340.5157142857143,0,0.0
WDID09962,Frank Smith,18,70,7,0.0,0,47,47,0.0,238.4114285714286,0,0.0
WDID09963,Sherri Wright,18,52,7,0.0,0,76,76,0.0,266.79,0,0.0
WDID09964,Barry Hooper,18,68,7,0.0,0,82,82,0.0,205.0142857142857,0,0.0
WDID09965,Brandon Rivers,18,75,7,0.0,0,92,92,0.0,204.96857142857138,0,0.0
WDID09966,Amy Cardenas,18,66,7,0.0,0,77,77,0.0,186.87142857142857,0,0.0
WDID09967,Joshua Campbell,18,23,7,0.0,0,99,99,0.0,227.92857142857142,0,0.0
WDID09968,Antonio Washington,18,39,7,0.0,0,73,73,0.0,302.8885714285715,0,0.0
WDID09969,Andrew Mcfarland,18,76,7,0.0,0,82,82,0.0,275.0428571428571,0,0.0
WDID09970,Bryce Estrada,18,64,7,0.0,0,77,77,0.0,213.81857142857143,0,0.0
WDID09971,Christine Dennis,18,20,7,0.0,0,76,76,0.0,218.27142857142857,0,0.0
WDID09972,Anthony Dixon,18,13,7,0.0,0,97,97,0.0,188.85999999999999,0,0.0
WDID09973,Miguel Hicks,18,52,7,0.0,0,77,77,0.0,197.5142857142857,0,0.0
WDID09974,Jillian Morales,18,70,7,0.0,0,79,79,0.0,297.15,0,0.0
WDID09975,Corey Morales,18,12,7,0.0,0,75,75,0.0,250.94714285714286,0,0.0
WDID09976,Stephanie Camacho,18,20,7,0.0,0,87,87,0.0,358.5157142857143,0,0.0
WDID09977,Troy Garcia,18,27,7,0.0,0,102,102,0.0,270.96999999999997,0,0.0
WDID09978,George Harmon,18,19,7,0.0,0,46,46,0.0,362.49857142857144,0,0.0
WDID09979,Chad Mcguire,18,25,7,0.0,0,47,47,0.0,463.05428571428564,0,0.0
WDID09980,Erin Lawrence,18,28,7,0.0,0,69,69,0.0,319.42142857142863,0,0.0
WDID09981,Christopher Peters,18,42,7,0.0,0,99,99,0.0,284.4757142857143,0,0.0
WDID09982,Kimberly Cannon,18,37,7,0.0,0,65,65,0.0,296.65999999999997,0,0.0
WDID09983,Lisa Miller,18,44,7,0.0,0,59,59,0.0,389.55,0,0.0
WDID09984,Shawn Orr,18,76,7,0.0,0,87,87,0.0,262.8414285714286,0,0.0
WDID09985,Kathryn Tran,18,44,7,0.0,0,77,77,0.0,229.19999999999996,0,0.0
WDID09986,Monica Randall,18,19,7,0.0,0,59,59,0.0,247.24714285714285,0,0.0
WDID09987,Breanna Floyd,18,77,7,0.0,0,61,61,0.0,235.21285714285713,0,0.0
WDID09988,Denise Thompson,18,13,7,0.0,0,73,73,0.0,224.30285714285716,0,0.0
WDID09989,Cheryl Lee,18,72,7,0.0,0,71,71,0.0,293.6671428571429,0,0.0
WDID09990,Clayton Jones,18,65,7,0.0,0,40,40,0.0,178.4757142857143,0,0.0
WDID09991,Jessica Patterson,18,35,7,0.0,0,47,47,0.0,374.2514285714286,0,0.0
WDID09992,Joseph Turner,18,16,7,0.0,0,78,78,0.0,235.7671428571429,0,0.0
WDID09993,Todd Garcia,18,70,7,0.0,0,58,58,0.0,235.64999999999995,0,0.0
WDID09994,Michele Hawkins,18,24,7,0.0,0,71,71,0.0,181.81571428571428,0,0.0
WDID09995,John Cox,18,27,7,0.0,0,73,73,0.0,274.4957142857143,0,0.0
WDID09996,Megan Ward,18,78,7,0.0,0,57,57,0.0,242.98142857142858,0,0.0
WDID09997,Tracy Johnson,18,71,7,0.0,0,50,50,0.0,313.53428571428566,0,0.0
WDID09998,Alexandra Thompson,18,26,7,0.0,0,60,60,0.0,297.3085714285715,0,0.0
WDID09999,Richard Johnson,18,78,7,0.0,0,69,69,0.0,408.7057142857143,0,0.0
WDID10000,Mrs. Sarah Carpenter MD,18,46,7,0.0,0,48,48,0.0,369.7628571428572,0,0.0
WDID10001,Thomas Terry,18,15,7,0.0,0,77,77,0.0,308.8428571428571,0,0.0
WDID10002,Lindsey Gonzales,18,49,7,0.0,0,93,93,0.0,407.0357142857143,0,0.0
WDID10003,Crystal Williams,18,56,7,0.0,0,84,84,0.0,279.1228571428572,0,0.0
WDID10004,Katherine Estes,18,13,7,0.0,0,71,71,0.0,357.7157142857142,0,0.0
WDID10005,Jeremy Allen,18,31,7,0.0,0,97,97,0.0,333.2528571428571,0,0.0
WDID10006,Wanda Harmon,18,63,7,0.0,0,86,86,0.0,297.63714285714286,0,0.0
WDID10007,Andrew Robertson,18,54,7,0.0,0,74,74,0.0,247.99142857142857,0,0.0
WDID10008,Dennis Cox,18,37,7,0.0,0,99,99,0.0,246.17714285714285,0,0.0
WDID10009,Tiffany Hardy,18,58,7,0.0,0,76,76,0.0,255.19857142857146,0,0.0
WDID10010,Eric Mcdonald,18,37,7,0.0,0,59,59,0.0,284.49142857142857,0,0.0
WDID10011,Christopher Hughes,18,61,7,0.0,0,77,77,0.0,274.05571428571426,0,0.0
WDID10012,Stacy Compton,18,25,7,0.0,0,78,78,0.0,250.21428571428572,0,0.0
WDID10013,Gregory Moss,18,38,7,0.0,0,81,81,0.0,221.26428571428573,0,0.0
WDID10014,Veronica Johnson,18,71,7,0.0,0,70,70,0.0,195.87285714285716,0,0.0
WDID10015,Mercedes Quinn,18,11,7,0.0,0,60,60,0.0,219.64714285714285,0,0.0
WDID10016,Vanessa Park,18,46,7,0.0,0,79,79,0.0,179.43,0,0.0
WDID10017,Robert Reese,18,70,7,0.0,0,77,77,0.0,172.55285714285714,0,0.0
WDID10018,Jennifer Weaver,18,24,7,0.0,0,95,95,0.0,181.8342857142857,0,0.0
WDID10019,Lisa Swanson,18,64,7,0.0,0,72,72,0.0,184.3042857142857,0,0.0
WDID10020,Joel Hancock,18,56,7,0.0,0,55,55,0.0,237.57,0,0.0
WDID10021,Terry Stewart,18,13,7,0.0,0,75,75,0.0,216.27285714285716,0,0.0
WDID10022,Benjamin Gibson,18,75,7,0.0,0,46,46,0.0,251.90571428571428,0,0.0
WDID10023,Leslie Gibson,18,15,7,0.0,0,94,94,0.0,244.11857142857144,0,0.0
WDID10024,Nathan Sherman,18,77,7,0.0,0,65,65,0.0,246.47714285714287,0,0.0
WDID10025,Michael Jones,18,65,7,0.0,0,87,87,0.0,259.35857142857145,0,0.0
WDID10026,Jasmine Jacobs,18,58,7,0.0,0,61,61,0.0,299.36,0,0.0
WDID10027,Cheryl Benson,18,21,7,0.0,0,46,46,0.0,242.0842857142857,0,0.0
WDID10028,Nicole White,18,26,7,0.0,0,82,82,0.0,277.35714285714283,0,0.0
WDID10029,Denise Tran,18,64,7,0.0,0,106,106,0.0,241.12428571428572,0,0.0
WDID10030,Troy Cowan,18,63,7,0.0,0,63,63,0.0,213.2485714285714,0,0.0
WDID10031,Melinda King,18,13,7,0.0,0,61,61,0.0,201.5142857142857,0,0.0
WDID10032,Jennifer Johnson,18,31,7,0.0,0,77,77,0.0,242.82142857142853,0,0.0
WDID10033,Walter Miller,18,45,7,0.0,0,59,59,0.0,291.24142857142857,0,0.0
WDID10034,Robert Howard Jr.,18,24,7,0.0,0,90,90,0.0,282.6142857142857,0,0.0
WDID10035,Alexis Wilson,18,12,7,0.0,0,45,45,0.0,258.0857142857143,0,0.0
WDID10036,Jason Stevens,18,66,7,0.0,0,67,67,0.0,357.5257142857143,0,0.0
WDID10037,Amanda Ferguson,18,22,7,0.0,0,69,69,0.0,318.6914285714286,0,0.0
WDID10038,Jonathan Torres,18,23,7,0.0,0,72,72,0.0,350.89142857142855,0,0.0
WDID10039,Michelle Hunter,18,18,7,0.0,0,44,44,0.0,264.52714285714285,0,0.0
WDID10040,Roberta Nelson,18,22,7,0.0,0,77,77,0.0,192.9185714285714,0,0.0
WDID10041,Brenda Vargas,18,40,7,0.0,0,49,49,0.0,173.31,0,0.0
WDID10042,Kent Oneal,18,34,7,0.0,0,80,80,0.0,319.1057142857143,0,0.0
WDID10043,Rita Brown,18,69,7,0.0,0,68,68,0.0,289.48857142857145,0,0.0
WDID10044,Madison Norman,18,32,7,0.0,0,73,73,0.0,221.9457142857143,0,0.0
WDID10045,James York,18,54,7,0.0,0,56,56,0.0,270.75,0,0.0
WDID10046,Tanya Bowen,18,50,7,0.0,0,95,95,0.0,270.57142857142856,0,0.0
WDID10047,Donald Gonzalez,18,34,7,0.0,0,43,43,0.0,235.8857142857143,0,0.0
WDID10048,Janice Ramos,18,27,7,0.0,0,58,58,0.0,336.3214285714286,0,0.0
WDID10049,Paula Gray,18,78,7,0.0,0,70,70,0.0,365.6685714285714,0,0.0
WDID10050,Cassandra Hatfield,18,67,7,0.0,0,71,71,0.0,407.4242857142857,0,0.0
WDID10051,Timothy Bradley,18,57,7,0.0,0,54,54,0.0,372.90999999999997,0,0.0
WDID10052,Jeremiah Carroll,18,70,7,0.0,0,63,63,0.0,307.25428571428574,0,0.0
WDID10053,Mark Ortiz,18,67,7,0.0,0,73,73,0.0,291.40285714285716,0,0.0
WDID10054,Patrick Ellis,18,19,7,0.0,0,56,56,0.0,331.28428571428566,0,0.0
WDID10055,Christina Obrien,18,54,7,0.0,0,47,47,0.0,294.19,0,0.0
WDID10056,Heather Gibson,18,21,7,0.0,0,60,60,0.0,231.77857142857144,0,0.0
WDID10057,Jennifer Lam,18,53,7,0.0,0,62,62,0.0,265.6328571428572,0,0.0
WDID10058,Holly Grant,18,29,11,0.45454545454545453,5,120,125,0.04,308.80272727272734,4,0.36363636363636365
WDID10059,Amber Porter,18,46,11,0.45454545454545453,5,115,120,0.041666666666666664,309.90090909090907,4,0.36363636363636365
WDID10060,Jody Patel,18,41,11,0.45454545454545453,5,102,107,0.04672897196261682,363.36,4,0.36363636363636365
WDID10061,Ashley Peterson,18,42,11,0.45454545454545453,5,120,125,0.04,266.5672727272727,4,0.36363636363636365
WDID10062,Audrey Lopez,18,28,11,0.45454545454545453,5,133,138,0.036231884057971016,380.51818181818186,4,0.36363636363636365
WDID10063,John Martinez,18,77,11,0.45454545454545453,5,122,127,0.03937007874015748,299.3690909090909,4,0.36363636363636365
WDID10064,Charlotte Davila,18,37,11,0.45454545454545453,5,105,110,0.045454545454545456,219.0590909090909,4,0.36363636363636365
WDID10065,Nicole Martinez,18,23,11,0.45454545454545453,5,133,138,0.036231884057971016,259.16636363636366,4,0.36363636363636365
WDID10066,Ryan Gomez,18,60,11,0.45454545454545453,5,130,135,0.037037037037037035,309.5663636363637,4,0.36363636363636365
WDID10067,Bruce Lane,18,29,11,0.45454545454545453,5,117,122,0.040983606557377046,317.30545454545455,4,0.36363636363636365
WDID10068,Tyler Stewart,19,24,11,0.45454545454545453,5,112,117,0.042735042735042736,267.7845454545454,4,0.36363636363636365
WDID10069,Ms. Lindsay Carpenter,19,77,11,0.45454545454545453,5,98,103,0.04854368932038835,268.73727272727274,4,0.36363636363636365
WDID10070,Heather Torres,19,51,11,0.45454545454545453,5,81,86,0.05813953488372093,278.6518181818182,4,0.36363636363636365
WDID10071,Chad Medina,19,20,11,0.45454545454545453,5,133,138,0.036231884057971016,248.53181818181818,4,0.36363636363636365
WDID10072,Brian Crawford,19,32,11,0.45454545454545453,5,81,86,0.05813953488372093,277.97090909090906,4,0.36363636363636365
WDID10073,Elizabeth Robinson,19,35,11,0.45454545454545453,5,81,86,0.05813953488372093,316.3845454545454,4,0.36363636363636365
WDID10074,Joseph Roberts,19,65,11,0.45454545454545453,5,92,97,0.05154639175257732,280.2490909090909,4,0.36363636363636365
WDID10075,Sandra Howard,19,71,11,0.45454545454545453,5,97,102,0.049019607843137254,270.8418181818182,4,0.36363636363636365
WDID10076,Michelle Kane,19,30,11,0.45454545454545453,5,95,100,0.05,202.54545454545453,4,0.36363636363636365
WDID10077,Brent Werner,19,15,11,0.45454545454545453,5,74,79,0.06329113924050633,226.26818181818183,4,0.36363636363636365
WDID10078,Todd Morris,19,69,11,0.45454545454545453,5,129,134,0.03731343283582089,269.9127272727273,4,0.36363636363636365
WDID10079,Brittany Kelly,19,70,11,0.45454545454545453,5,75,80,0.0625,260.69909090909096,4,0.36363636363636365
WDID10080,Kimberly Russell,19,52,11,0.45454545454545453,5,135,140,0.03571428571428571,297.19363636363636,4,0.36363636363636365
WDID10081,Jonathan Gonzalez,19,45,11,0.45454545454545453,5,106,111,0.04504504504504504,395.1700000000001,4,0.36363636363636365
WDID10082,Brittany Morgan,19,60,11,0.45454545454545453,5,124,129,0.03875968992248062,336.1072727272727,4,0.36363636363636365
WDID10083,Andrea Choi,19,28,11,0.45454545454545453,5,107,112,0.044642857142857144,365.25454545454545,4,0.36363636363636365
WDID10084,Candace Taylor,19,11,11,0.45454545454545453,5,122,127,0.03937007874015748,303.48,4,0.36363636363636365
WDID10085,Charles Barrett,19,57,11,0.45454545454545453,5,126,131,0.03816793893129771,336.7281818181818,4,0.36363636363636365
WDID10086,Matthew Brooks,19,20,11,0.45454545454545453,5,117,122,0.040983606557377046,268.9236363636364,4,0.36363636363636365
WDID10087,Jessica Johnson,19,74,11,0.45454545454545453,5,110,115,0.043478260869565216,255.32818181818178,4,0.36363636363636365
WDID10088,Anne Mckee,19,13,11,0.45454545454545453,5,115,120,0.041666666666666664,255.6836363636363,4,0.36363636363636365
WDID10089,Andrew Smith,19,41,11,0.45454545454545453,5,129,134,0.03731343283582089,246.6481818181818,4,0.36363636363636365
WDID10090,Jennifer Harris,19,65,11,0.45454545454545453,5,105,110,0.045454545454545456,229.4936363636364,4,0.36363636363636365
WDID10091,Paul Boyd,19,68,11,0.45454545454545453,5,96,101,0.04950495049504951,313.7863636363636,4,0.36363636363636365
WDID10092,Savannah Berg,19,25,11,0.45454545454545453,5,82,87,0.05747126436781609,353.17,4,0.36363636363636365
WDID10093,Justin Gregory,19,56,11,0.45454545454545453,5,113,118,0.0423728813559322,236.77636363636364,4,0.36363636363636365
WDID10094,Eric Bennett,19,18,11,0.45454545454545453,5,96,101,0.04950495049504951,252.21181818181822,4,0.36363636363636365
WDID10095,Billy Daniels,19,71,11,0.45454545454545453,5,96,101,0.04950495049504951,333.78090909090906,4,0.36363636363636365
WDID10096,Kelly Lopez,19,14,11,0.45454545454545453,5,118,123,0.04065040650406504,237.58909090909086,4,0.36363636363636365
WDID10097,Melissa Little,19,59,11,0.45454545454545453,5,96,101,0.04950495049504951,256.45272727272726,4,0.36363636363636365
WDID10098,Alice Giles,19,71,11,0.45454545454545453,5,99,104,0.04807692307692308,233.60454545454547,4,0.36363636363636365
WDID10099,Julie Nichols,19,27,11,0.45454545454545453,5,112,117,0.042735042735042736,273.4318181818182,4,0.36363636363636365
WDID10100,Nicholas Drake,19,44,11,0.45454545454545453,5,91,96,0.052083333333333336,290.9563636363637,4,0.36363636363636365
WDID10101,Anita Harris,19,47,11,0.45454545454545453,5,115,120,0.041666666666666664,403.01727272727277,4,0.36363636363636365
WDID10102,Brian Kelley,19,37,7,0.0,0,85,85,0.0,413.71000000000004,0,0.0
WDID10103,Melissa Harmon,19,65,7,0.0,0,67,67,0.0,423.2042857142857,0,0.0
WDID10104,David Nguyen,18,52,7,0.0,0,80,80,0.0,366.87857142857143,0,0.0
WDID10105,Laura Bradley,19,51,7,0.0,0,57,57,0.0,292.3671428571428,0,0.0
WDID10106,Justin Young,19,25,7,0.0,0,59,59,0.0,321.26571428571424,0,0.0
WDID10107,Julia Anderson,19,68,7,0.0,0,57,57,0.0,371.0214285714286,0,0.0
WDID10108,Nicole Allen,19,68,7,0.0,0,58,58,0.0,328.57000000000005,0,0.0
WDID10109,Melissa Davidson,19,77,7,0.0,0,40,40,0.0,327.88,0,0.0
WDID10110,Michael Poole,19,11,7,0.0,0,92,92,0.0,257.4157142857143,0,0.0
WDID10111,Jonathan Hansen,19,38,7,0.0,0,91,91,0.0,281.6571428571429,0,0.0
WDID10112,Alec Nichols,19,26,7,0.0,0,79,79,0.0,249.54000000000002,0,0.0
WDID10113,Calvin Osborne,19,48,7,0.0,0,71,71,0.0,258.1557142857143,0,0.0
WDID10114,Amy Neal,19,77,7,0.0,0,74,74,0.0,271.0957142857143,0,0.0
WDID10115,Shawn Boone,19,41,7,0.0,0,80,80,0.0,310.96714285714285,0,0.0
WDID10116,Brandy Bennett,19,68,7,0.0,0,100,100,0.0,289.35857142857145,0,0.0
WDID10117,Brian Bennett,19,15,7,0.0,0,89,89,0.0,308.6042857142857,0,0.0
WDID10118,Donna Kelly,19,34,7,0.0,0,77,77,0.0,240.3842857142857,0,0.0
WDID10119,Mary Wood,19,43,7,0.0,0,58,58,0.0,271.65,0,0.0
WDID10120,Jack Pratt,19,22,7,0.0,0,90,90,0.0,264.34857142857146,0,0.0
WDID10121,Andrew Gibson,19,20,7,0.0,0,71,71,0.0,308.6885714285714,0,0.0
WDID10122,Derrick Russell,19,45,7,0.0,0,60,60,0.0,290.4885714285714,0,0.0
WDID10123,Julie Snyder,19,32,7,0.0,0,75,75,0.0,286.0242857142857,0,0.0
WDID10124,Timothy Hernandez II,19,29,7,0.0,0,70,70,0.0,211.6857142857143,0,0.0
WDID10125,Geoffrey Heath,19,54,7,0.0,0,68,68,0.0,192.1314285714286,0,0.0
WDID10126,Cindy Rivera,19,70,7,0.0,0,71,71,0.0,237.11285714285714,0,0.0
WDID10127,Alan Hess,19,51,7,0.0,0,61,61,0.0,227.41857142857143,0,0.0
WDID10128,Lindsay Smith,19,21,7,0.0,0,93,93,0.0,212.37285714285716,0,0.0
WDID10129,Andrea Miller,19,50,7,0.0,0,62,62,0.0,261.0828571428571,0,0.0
WDID10130,Katie Frey,19,39,7,0.0,0,80,80,0.0,293.41857142857145,0,0.0
WDID10131,Erica Jackson,19,42,7,0.0,0,66,66,0.0,243.5628571428571,0,0.0
WDID10132,Isaac Lewis,19,32,7,0.0,0,86,86,0.0,235.03571428571428,0,0.0
WDID10133,Carl Mcguire,19,14,7,0.0,0,63,63,0.0,252.17714285714283,0,0.0
WDID10134,Jake Patterson,19,73,7,0.0,0,66,66,0.0,213.37000000000003,0,0.0
WDID10135,Ruth Mooney,19,70,7,0.0,0,75,75,0.0,209.40571428571428,0,0.0
WDID10136,Jody Sanchez,19,15,7,0.0,0,88,88,0.0,291.5771428571428,0,0.0
WDID10137,Martha Anderson,19,29,7,0.0,0,94,94,0.0,390.8085714285714,0,0.0
